customer_id,order_date,order_id,order_total,product_id,quantity,address,city,email,first_name,last_name,phone_number,state,zip_code,product_description,product_name,product_price
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,ce44e2a7-781e-4daf-b88c-df1085124212,2605.89,102fa51a-addd-4673-8bf7-42cef60102fc,5,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Yet dog according just receive may speak.,Best-of-breed Grow Camera,302.38
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,ce44e2a7-781e-4daf-b88c-df1085124212,2605.89,2c4aa051-e2d4-499a-a940-37e48927b88e,3,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Listen explain strategy interesting notice onto.,Scalable Transition Printer,128.12
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,ce44e2a7-781e-4daf-b88c-df1085124212,2605.89,96cc6b3c-4058-4a59-aebb-c35522452fbb,1,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Process within such not.,Ubiquitous Deliver Mouse,153.94
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,ce44e2a7-781e-4daf-b88c-df1085124212,2605.89,edee2ff1-f50b-4895-9a0e-39365bf09746,4,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Stock edge three much attack.,Extensible Maximize Smartwatch,122.25
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,ce44e2a7-781e-4daf-b88c-df1085124212,2605.89,f88d2e53-590c-405a-aa02-de912908d3d5,3,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Although expert news particular base chance.,Killer Deliver Smartwatch,22.23
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,eb52334f-9dba-4ba8-8a85-79661e0ecb96,5021.6,19c51b48-cbef-4aa9-a321-1c9b501a5437,2,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Whatever listen they.,Seamless Optimize Mouse,347.77
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,eb52334f-9dba-4ba8-8a85-79661e0ecb96,5021.6,4cfb8032-aa17-4b66-b500-92c3c9172ce6,3,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,To also church student six subject win.,Impactful Cultivate Smartwatch,317.9
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,eb52334f-9dba-4ba8-8a85-79661e0ecb96,5021.6,96cc6b3c-4058-4a59-aebb-c35522452fbb,4,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Process within such not.,Ubiquitous Deliver Mouse,153.94
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,eb52334f-9dba-4ba8-8a85-79661e0ecb96,5021.6,9847938f-3ffe-494b-8063-1cbc950522ef,5,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Blue arm rich generation live.,Plug-and-play Embrace Laptop,542.32
8f625c8d-b3fc-4c91-b8da-146c48475a9f,2024-07-01,eb52334f-9dba-4ba8-8a85-79661e0ecb96,5021.6,f88d2e53-590c-405a-aa02-de912908d3d5,2,074 Christopher Wall,West Michaelborough,crystal30@example.com,Melissa,Burnett,237-780-0843,MO,18178,Although expert news particular base chance.,Killer Deliver Smartwatch,22.23
cdfe895e-ee8c-4df1-9f79-8773e2f802e6,2024-07-01,4a873126-292c-4438-b810-1598c21b2b0d,3859.92,19c51b48-cbef-4aa9-a321-1c9b501a5437,5,43434 Melanie Flats Suite 778,West Robert,henrychristian@example.com,Jesse,Cox,850.898.3861,OH,58843,Whatever listen they.,Seamless Optimize Mouse,347.77
cdfe895e-ee8c-4df1-9f79-8773e2f802e6,2024-07-01,4a873126-292c-4438-b810-1598c21b2b0d,3859.92,3b19d5af-eb48-485e-9a72-0ab6ddb6bdf8,2,43434 Melanie Flats Suite 778,West Robert,henrychristian@example.com,Jesse,Cox,850.898.3861,OH,58843,Until hear real ready.,Scalable Utilize Camera,744.36
cdfe895e-ee8c-4df1-9f79-8773e2f802e6,2024-07-01,4a873126-292c-4438-b810-1598c21b2b0d,3859.92,74409a7f-8256-4510-b9ab-84aac9562a61,5,43434 Melanie Flats Suite 778,West Robert,henrychristian@example.com,Jesse,Cox,850.898.3861,OH,58843,Apply look house heart time plan couple.,Bricks-and-clicks Visualize Camera,79.79
cdfe895e-ee8c-4df1-9f79-8773e2f802e6,2024-07-01,4a873126-292c-4438-b810-1598c21b2b0d,3859.92,edee2ff1-f50b-4895-9a0e-39365bf09746,1,43434 Melanie Flats Suite 778,West Robert,henrychristian@example.com,Jesse,Cox,850.898.3861,OH,58843,Stock edge three much attack.,Extensible Maximize Smartwatch,122.25
cdfe895e-ee8c-4df1-9f79-8773e2f802e6,2024-07-01,4a873126-292c-4438-b810-1598c21b2b0d,3859.92,f88d2e53-590c-405a-aa02-de912908d3d5,5,43434 Melanie Flats Suite 778,West Robert,henrychristian@example.com,Jesse,Cox,850.898.3861,OH,58843,Although expert news particular base chance.,Killer Deliver Smartwatch,22.23
8e26be41-9926-415d-af66-8d029dddbf1a,2024-07-01,f35ba3a2-d028-42dc-9cc0-7b540196e4ff,2851.17,2c4aa051-e2d4-499a-a940-37e48927b88e,3,8421 Gina Fort Suite 733,Gordonshire,adamsdustin@example.net,Theresa,Hernandez,213-886-9876x44454,NJ,54036,Listen explain strategy interesting notice onto.,Scalable Transition Printer,128.12
8e26be41-9926-415d-af66-8d029dddbf1a,2024-07-01,f35ba3a2-d028-42dc-9cc0-7b540196e4ff,2851.17,3b19d5af-eb48-485e-9a72-0ab6ddb6bdf8,3,8421 Gina Fort Suite 733,Gordonshire,adamsdustin@example.net,Theresa,Hernandez,213-886-9876x44454,NJ,54036,Until hear real ready.,Scalable Utilize Camera,744.36
8e26be41-9926-415d-af66-8d029dddbf1a,2024-07-01,f35ba3a2-d028-42dc-9cc0-7b540196e4ff,2851.17,74409a7f-8256-4510-b9ab-84aac9562a61,1,8421 Gina Fort Suite 733,Gordonshire,adamsdustin@example.net,Theresa,Hernandez,213-886-9876x44454,NJ,54036,Apply look house heart time plan couple.,Bricks-and-clicks Visualize Camera,79.79
8e26be41-9926-415d-af66-8d029dddbf1a,2024-07-01,f35ba3a2-d028-42dc-9cc0-7b540196e4ff,2851.17,96cc6b3c-4058-4a59-aebb-c35522452fbb,1,8421 Gina Fort Suite 733,Gordonshire,adamsdustin@example.net,Theresa,Hernandez,213-886-9876x44454,NJ,54036,Process within such not.,Ubiquitous Deliver Mouse,153.94
40c96387-0ab3-4684-b4b8-adb546c69f86,2024-07-01,619474e2-9876-4a21-bd8e-2acd5f9f5805,3439.26,3b19d5af-eb48-485e-9a72-0ab6ddb6bdf8,4,7733 Kerr Dam,Dudleyport,christopherlee@example.org,Paula,Booker,001-861-782-2086x61100,MP,66157,Until hear real ready.,Scalable Utilize Camera,744.36
40c96387-0ab3-4684-b4b8-adb546c69f86,2024-07-01,619474e2-9876-4a21-bd8e-2acd5f9f5805,3439.26,96cc6b3c-4058-4a59-aebb-c35522452fbb,3,7733 Kerr Dam,Dudleyport,christopherlee@example.org,Paula,Booker,001-861-782-2086x61100,MP,66157,Process within such not.,Ubiquitous Deliver Mouse,153.94
